Starting training on Pendulum-v1...
Episode: 605, Steps: 200, Sigma: 0.368, Reward: -7.97
Episode: 606, Steps: 200, Sigma: 0.368, Reward: -4.98
Episode: 608, Steps: 200, Sigma: 0.367, Reward: -133.66
Episode: 609, Steps: 200, Sigma: 0.366, Reward: -4.98
Episode: 610, Steps: 200, Sigma: 0.366, Reward: -4.37
Episode: 612, Steps: 200, Sigma: 0.365, Reward: -136.54
Episode: 614, Steps: 200, Sigma: 0.364, Reward: -4.93
Episode: 616, Steps: 200, Sigma: 0.363, Reward: -4.31
Episode: 618, Steps: 200, Sigma: 0.361, Reward: -135.62
Episode: 620, Steps: 200, Sigma: 0.360, Reward: -1531.63
Episode: 627, Steps: 200, Sigma: 0.357, Reward: -131.75
Episode: 630, Steps: 200, Sigma: 0.355, Reward: -1158.69
Episode: 631, Steps: 200, Sigma: 0.355, Reward: -136.41
Episode: 632, Steps: 200, Sigma: 0.354, Reward: -129.73
Episode: 633, Steps: 200, Sigma: 0.354, Reward: -474.80
Episode: 635, Steps: 200, Sigma: 0.353, Reward: -0.48
Episode: 637, Steps: 200, Sigma: 0.352, Reward: -1.45
Episode: 638, Steps: 200, Sigma: 0.351, Reward: -132.58
Episode: 640, Steps: 200, Sigma: 0.350, Reward: -1382.26
Episode: 641, Steps: 200, Sigma: 0.350, Reward: -3.01
Episode: 643, Steps: 200, Sigma: 0.349, Reward: -134.01
Episode: 645, Steps: 200, Sigma: 0.348, Reward: -2.55
Episode: 649, Steps: 200, Sigma: 0.346, Reward: -132.14
Episode: 650, Steps: 200, Sigma: 0.345, Reward: -1175.81
Episode: 651, Steps: 200, Sigma: 0.345, Reward: -134.58
Episode: 652, Steps: 200, Sigma: 0.344, Reward: -137.14
Episode: 653, Steps: 200, Sigma: 0.344, Reward: -135.28
Episode: 655, Steps: 200, Sigma: 0.343, Reward: -8.31
Episode: 660, Steps: 200, Sigma: 0.340, Reward: -927.86
Episode: 662, Steps: 200, Sigma: 0.339, Reward: -131.77
Episode: 663, Steps: 200, Sigma: 0.339, Reward: -4.32
Episode: 666, Steps: 200, Sigma: 0.338, Reward: -131.65
Episode: 670, Steps: 200, Sigma: 0.336, Reward: -1381.85
Episode: 671, Steps: 200, Sigma: 0.335, Reward: -120.76
Episode: 673, Steps: 200, Sigma: 0.334, Reward: -6.11
Episode: 675, Steps: 200, Sigma: 0.333, Reward: -118.13
Episode: 678, Steps: 200, Sigma: 0.332, Reward: -7.46
Episode: 679, Steps: 200, Sigma: 0.331, Reward: -10.90
Episode: 680, Steps: 200, Sigma: 0.331, Reward: -1385.38
Episode: 683, Steps: 200, Sigma: 0.330, Reward: -11.53
