Starting training on Pendulum-v1...
Episode: 93, Steps: 200, Sigma: 0.959, Reward: -1505.44
Episode: 94, Steps: 200, Sigma: 0.959, Reward: -1379.62
Episode: 95, Steps: 200, Sigma: 0.958, Reward: -1301.95
Episode: 96, Steps: 200, Sigma: 0.958, Reward: -1403.97
Episode: 97, Steps: 200, Sigma: 0.957, Reward: -1503.46
Episode: 98, Steps: 200, Sigma: 0.957, Reward: -1415.76
Episode: 99, Steps: 200, Sigma: 0.957, Reward: -1169.79
Episode: 100, Steps: 200, Sigma: 0.956, Reward: -995.75
Episode: 101, Steps: 200, Sigma: 0.956, Reward: -1241.51
Episode: 102, Steps: 200, Sigma: 0.955, Reward: -1249.86
Episode: 103, Steps: 200, Sigma: 0.955, Reward: -1125.32
Episode: 104, Steps: 200, Sigma: 0.954, Reward: -1119.12
Episode: 105, Steps: 200, Sigma: 0.954, Reward: -1508.44
Episode: 106, Steps: 200, Sigma: 0.954, Reward: -1472.60
Episode: 107, Steps: 200, Sigma: 0.953, Reward: -1208.04
Episode: 108, Steps: 200, Sigma: 0.953, Reward: -1036.79
Episode: 109, Steps: 200, Sigma: 0.952, Reward: -1513.66
Episode: 110, Steps: 200, Sigma: 0.952, Reward: -1179.13
Episode: 111, Steps: 200, Sigma: 0.951, Reward: -1303.18
Episode: 112, Steps: 200, Sigma: 0.951, Reward: -1396.33
Episode: 113, Steps: 200, Sigma: 0.951, Reward: -1283.57
Episode: 114, Steps: 200, Sigma: 0.950, Reward: -1211.66
Episode: 115, Steps: 200, Sigma: 0.950, Reward: -1393.48
Episode: 116, Steps: 200, Sigma: 0.949, Reward: -1119.82
Episode: 117, Steps: 200, Sigma: 0.949, Reward: -1192.36
Episode: 118, Steps: 200, Sigma: 0.948, Reward: -1157.14
Episode: 119, Steps: 200, Sigma: 0.948, Reward: -1143.72
Episode: 120, Steps: 200, Sigma: 0.948, Reward: -1062.47
Episode: 121, Steps: 200, Sigma: 0.947, Reward: -1292.58
Episode: 122, Steps: 200, Sigma: 0.947, Reward: -917.26
Episode: 123, Steps: 200, Sigma: 0.946, Reward: -1189.18
Episode: 124, Steps: 200, Sigma: 0.946, Reward: -972.38
Episode: 125, Steps: 200, Sigma: 0.945, Reward: -1209.58
Episode: 126, Steps: 200, Sigma: 0.945, Reward: -1057.77
Episode: 127, Steps: 200, Sigma: 0.945, Reward: -1504.09
Episode: 128, Steps: 200, Sigma: 0.944, Reward: -1505.72
Episode: 129, Steps: 200, Sigma: 0.944, Reward: -1187.16
Episode: 130, Steps: 200, Sigma: 0.943, Reward: -1555.67
Episode: 131, Steps: 200, Sigma: 0.943, Reward: -1024.35
Episode: 132, Steps: 200, Sigma: 0.943, Reward: -660.89
Episode: 133, Steps: 200, Sigma: 0.942, Reward: -1151.78
Episode: 134, Steps: 200, Sigma: 0.942, Reward: -1084.23
Episode: 135, Steps: 200, Sigma: 0.941, Reward: -1107.02
Episode: 136, Steps: 200, Sigma: 0.941, Reward: -1164.17
Episode: 137, Steps: 200, Sigma: 0.940, Reward: -1367.50
Episode: 138, Steps: 200, Sigma: 0.940, Reward: -777.41
Episode: 139, Steps: 200, Sigma: 0.940, Reward: -1496.07
Episode: 140, Steps: 200, Sigma: 0.939, Reward: -1510.75
Episode: 141, Steps: 200, Sigma: 0.939, Reward: -1500.69
Episode: 142, Steps: 200, Sigma: 0.938, Reward: -936.08
Episode: 143, Steps: 200, Sigma: 0.938, Reward: -519.97
Episode: 144, Steps: 200, Sigma: 0.937, Reward: -767.32
Episode: 145, Steps: 200, Sigma: 0.937, Reward: -1326.77
Episode: 146, Steps: 200, Sigma: 0.937, Reward: -1520.40
Episode: 147, Steps: 200, Sigma: 0.936, Reward: -1327.29
Episode: 148, Steps: 200, Sigma: 0.936, Reward: -1071.92
Episode: 149, Steps: 200, Sigma: 0.935, Reward: -994.00
Episode: 150, Steps: 200, Sigma: 0.935, Reward: -1056.09
Episode: 151, Steps: 200, Sigma: 0.935, Reward: -1493.96
Episode: 152, Steps: 200, Sigma: 0.934, Reward: -1262.82
Episode: 153, Steps: 200, Sigma: 0.934, Reward: -1450.76
Episode: 154, Steps: 200, Sigma: 0.933, Reward: -1347.96
Episode: 155, Steps: 200, Sigma: 0.933, Reward: -1515.01
Episode: 156, Steps: 200, Sigma: 0.932, Reward: -977.01
Episode: 157, Steps: 200, Sigma: 0.932, Reward: -1533.67
Episode: 158, Steps: 200, Sigma: 0.932, Reward: -829.21
Episode: 159, Steps: 200, Sigma: 0.931, Reward: -1500.97
Episode: 160, Steps: 200, Sigma: 0.931, Reward: -1469.86
Episode: 161, Steps: 200, Sigma: 0.930, Reward: -953.58
