Starting training on Pendulum-v1...
Episode: 122, Steps: 200, Total Reward: -1682.51
Episode: 123, Steps: 200, Total Reward: -1737.02
Episode: 124, Steps: 200, Total Reward: -1656.28
Episode: 125, Steps: 200, Total Reward: -1740.37
Episode: 126, Steps: 200, Total Reward: -1476.71
Episode: 127, Steps: 200, Total Reward: -1776.10
Episode: 128, Steps: 200, Total Reward: -1769.20
Episode: 129, Steps: 200, Total Reward: -1656.50
Episode: 130, Steps: 200, Total Reward: -1658.95
Episode: 131, Steps: 200, Total Reward: -1715.88
Episode: 132, Steps: 200, Total Reward: -1534.75
Episode: 133, Steps: 200, Total Reward: -1585.10
Episode: 134, Steps: 200, Total Reward: -1818.63
Episode: 135, Steps: 200, Total Reward: -1620.21
Episode: 136, Steps: 200, Total Reward: -1658.29
Episode: 137, Steps: 200, Total Reward: -1490.73
Episode: 138, Steps: 200, Total Reward: -1547.58
Episode: 139, Steps: 200, Total Reward: -1694.91
Episode: 140, Steps: 200, Total Reward: -1565.61
Episode: 141, Steps: 200, Total Reward: -1602.81
Episode: 142, Steps: 200, Total Reward: -1683.83
Episode: 143, Steps: 200, Total Reward: -1367.96
Episode: 144, Steps: 200, Total Reward: -1515.02
Episode: 145, Steps: 200, Total Reward: -1791.34
Episode: 146, Steps: 200, Total Reward: -1216.55
Episode: 147, Steps: 200, Total Reward: -1357.41
Episode: 148, Steps: 200, Total Reward: -1135.86
Episode: 149, Steps: 200, Total Reward: -1685.73
Episode: 150, Steps: 200, Total Reward: -1746.22
Episode: 151, Steps: 200, Total Reward: -1393.84
Episode: 152, Steps: 200, Total Reward: -1568.64
Episode: 153, Steps: 200, Total Reward: -1639.95
Episode: 154, Steps: 200, Total Reward: -1305.19
Episode: 155, Steps: 200, Total Reward: -1003.45
Episode: 156, Steps: 200, Total Reward: -1196.87
Episode: 157, Steps: 200, Total Reward: -1421.90
Episode: 158, Steps: 200, Total Reward: -1465.49
Episode: 159, Steps: 200, Total Reward: -1526.08
Episode: 160, Steps: 200, Total Reward: -1584.83
Episode: 161, Steps: 200, Total Reward: -1499.75
Episode: 162, Steps: 200, Total Reward: -1485.82
Episode: 163, Steps: 200, Total Reward: -1288.37
Episode: 164, Steps: 200, Total Reward: -1434.07
Episode: 165, Steps: 200, Total Reward: -1267.92
Episode: 166, Steps: 200, Total Reward: -1309.50
Episode: 167, Steps: 200, Total Reward: -1589.81
Episode: 168, Steps: 200, Total Reward: -1187.93
Episode: 169, Steps: 200, Total Reward: -964.13
Episode: 170, Steps: 200, Total Reward: -1291.33
Episode: 171, Steps: 200, Total Reward: -1356.20
Episode: 172, Steps: 200, Total Reward: -1250.78
Episode: 173, Steps: 200, Total Reward: -1254.61
Episode: 174, Steps: 200, Total Reward: -1399.07
Episode: 175, Steps: 200, Total Reward: -923.17
Episode: 176, Steps: 200, Total Reward: -1447.03
Episode: 177, Steps: 200, Total Reward: -1500.17
Episode: 178, Steps: 200, Total Reward: -1328.23
Episode: 179, Steps: 200, Total Reward: -1576.67
Episode: 180, Steps: 200, Total Reward: -1393.57
Episode: 181, Steps: 200, Total Reward: -1511.57
Episode: 182, Steps: 200, Total Reward: -1392.02
Episode: 183, Steps: 200, Total Reward: -1435.04
Episode: 184, Steps: 200, Total Reward: -1730.94
Episode: 185, Steps: 200, Total Reward: -1292.48
Episode: 186, Steps: 200, Total Reward: -1427.75
Episode: 187, Steps: 200, Total Reward: -1406.31
Episode: 188, Steps: 200, Total Reward: -1362.05
Episode: 189, Steps: 200, Total Reward: -1404.08
Episode: 190, Steps: 200, Total Reward: -1217.95
Episode: 191, Steps: 200, Total Reward: -1206.40
Episode: 192, Steps: 200, Total Reward: -1455.75
Episode: 193, Steps: 200, Total Reward: -1006.23
Episode: 194, Steps: 200, Total Reward: -1309.10
Episode: 195, Steps: 200, Total Reward: -995.41
Episode: 196, Steps: 200, Total Reward: -1305.30
Episode: 197, Steps: 200, Total Reward: -1541.95
Episode: 198, Steps: 200, Total Reward: -1233.95
Episode: 199, Steps: 200, Total Reward: -1305.71
Episode: 200, Steps: 200, Total Reward: -1215.56
Episode: 201, Steps: 200, Total Reward: -1428.58
Episode: 202, Steps: 200, Total Reward: -1033.69
Episode: 203, Steps: 200, Total Reward: -1379.10
Episode: 204, Steps: 200, Total Reward: -1268.04
Episode: 205, Steps: 200, Total Reward: -1096.54
Episode: 206, Steps: 200, Total Reward: -1231.64
Episode: 207, Steps: 200, Total Reward: -1298.13
Episode: 208, Steps: 200, Total Reward: -1466.01
Episode: 209, Steps: 200, Total Reward: -1503.17
Episode: 210, Steps: 200, Total Reward: -1482.07
Episode: 211, Steps: 200, Total Reward: -1617.94
Episode: 212, Steps: 200, Total Reward: -1578.76
Episode: 213, Steps: 200, Total Reward: -1335.40
Episode: 214, Steps: 200, Total Reward: -1335.61
Episode: 215, Steps: 200, Total Reward: -1408.96
Episode: 216, Steps: 200, Total Reward: -1380.87
Episode: 217, Steps: 200, Total Reward: -1707.26
Episode: 218, Steps: 200, Total Reward: -1509.62
Episode: 219, Steps: 200, Total Reward: -1639.52
Episode: 220, Steps: 200, Total Reward: -1256.42
Episode: 221, Steps: 200, Total Reward: -1269.89
Episode: 222, Steps: 200, Total Reward: -1641.76
Episode: 223, Steps: 200, Total Reward: -1710.53
Episode: 224, Steps: 200, Total Reward: -1312.29
Episode: 225, Steps: 200, Total Reward: -1462.01
Episode: 226, Steps: 200, Total Reward: -1516.02
Episode: 227, Steps: 200, Total Reward: -1303.32
Episode: 228, Steps: 200, Total Reward: -1445.81
Episode: 229, Steps: 200, Total Reward: -1524.81
Episode: 230, Steps: 200, Total Reward: -1418.93
Episode: 231, Steps: 200, Total Reward: -1382.74
Episode: 232, Steps: 200, Total Reward: -1521.88
Episode: 233, Steps: 200, Total Reward: -1493.39
Episode: 234, Steps: 200, Total Reward: -1669.45
Episode: 235, Steps: 200, Total Reward: -1423.93
Episode: 236, Steps: 200, Total Reward: -1813.00
Episode: 237, Steps: 200, Total Reward: -1514.49
Episode: 238, Steps: 200, Total Reward: -1143.03
Episode: 239, Steps: 200, Total Reward: -1485.78
Episode: 240, Steps: 200, Total Reward: -1594.59
Episode: 241, Steps: 200, Total Reward: -1545.50
Episode: 242, Steps: 200, Total Reward: -1620.04
Episode: 243, Steps: 200, Total Reward: -1271.68
Episode: 244, Steps: 200, Total Reward: -1643.62
Episode: 245, Steps: 200, Total Reward: -1472.88
Episode: 246, Steps: 200, Total Reward: -1122.07
Episode: 247, Steps: 200, Total Reward: -1540.11
Episode: 248, Steps: 200, Total Reward: -1361.12
Episode: 249, Steps: 200, Total Reward: -1810.59
Episode: 250, Steps: 200, Total Reward: -1407.88
Episode: 251, Steps: 200, Total Reward: -1521.44
Episode: 252, Steps: 200, Total Reward: -1752.87
Episode: 253, Steps: 200, Total Reward: -1581.71
Episode: 254, Steps: 200, Total Reward: -1128.89
Episode: 255, Steps: 200, Total Reward: -992.96
Episode: 256, Steps: 200, Total Reward: -1776.94
Episode: 257, Steps: 200, Total Reward: -1726.12
Episode: 258, Steps: 200, Total Reward: -1127.04
Episode: 259, Steps: 200, Total Reward: -1463.97
Episode: 260, Steps: 200, Total Reward: -1386.55
Episode: 261, Steps: 200, Total Reward: -1639.39
Episode: 262, Steps: 200, Total Reward: -1449.36
Episode: 263, Steps: 200, Total Reward: -1297.77
Episode: 264, Steps: 200, Total Reward: -1395.37
Episode: 265, Steps: 200, Total Reward: -1534.49
