Starting CACLA training on Pendulum-v1...
Episode: 940, Steps: 200, Sigma: 0.237, Reward: -1458.47
Episode: 950, Steps: 200, Sigma: 0.235, Reward: -137.76
Episode: 960, Steps: 200, Sigma: 0.232, Reward: -1143.79
Episode: 970, Steps: 200, Sigma: 0.229, Reward: -1198.73
Episode: 980, Steps: 200, Sigma: 0.227, Reward: -1192.48
Episode: 990, Steps: 200, Sigma: 0.224, Reward: -1515.30
Episode: 1000, Steps: 200, Sigma: 0.222, Reward: -132.86
Episode: 1010, Steps: 200, Sigma: 0.219, Reward: -1376.48
Episode: 1020, Steps: 200, Sigma: 0.217, Reward: -1511.39
Episode: 1030, Steps: 200, Sigma: 0.215, Reward: -1279.49
Episode: 1040, Steps: 200, Sigma: 0.212, Reward: -1142.93
Episode: 1050, Steps: 200, Sigma: 0.210, Reward: -1337.56
Episode: 1060, Steps: 200, Sigma: 0.208, Reward: -134.59
Episode: 1070, Steps: 200, Sigma: 0.206, Reward: -934.64
Episode: 1080, Steps: 200, Sigma: 0.204, Reward: -1337.83
Episode: 1090, Steps: 200, Sigma: 0.202, Reward: -1519.27
Episode: 1100, Steps: 200, Sigma: 0.200, Reward: -1435.70
Episode: 1110, Steps: 200, Sigma: 0.198, Reward: -1332.65
Episode: 1120, Steps: 200, Sigma: 0.196, Reward: -13.57
Episode: 1130, Steps: 200, Sigma: 0.194, Reward: -137.07
Episode: 1140, Steps: 200, Sigma: 0.192, Reward: -1134.83
Episode: 1150, Steps: 200, Sigma: 0.190, Reward: -1518.36
Episode: 1160, Steps: 200, Sigma: 0.188, Reward: -1333.50
Episode: 1170, Steps: 200, Sigma: 0.187, Reward: -1270.99
Episode: 1180, Steps: 200, Sigma: 0.185, Reward: -1511.71
Episode: 1190, Steps: 200, Sigma: 0.183, Reward: -136.23
Episode: 1200, Steps: 200, Sigma: 0.182, Reward: -1070.95
Episode: 1210, Steps: 200, Sigma: 0.180, Reward: -1266.11
Episode: 1220, Steps: 200, Sigma: 0.178, Reward: -1520.16
Episode: 1230, Steps: 200, Sigma: 0.177, Reward: -1028.91
Episode: 1240, Steps: 200, Sigma: 0.175, Reward: -1128.88
Episode: 1250, Steps: 200, Sigma: 0.174, Reward: -1396.80
Episode: 1260, Steps: 200, Sigma: 0.172, Reward: -1030.99
Episode: 1270, Steps: 200, Sigma: 0.171, Reward: -1195.41
Episode: 1280, Steps: 200, Sigma: 0.170, Reward: -144.14
Episode: 1290, Steps: 200, Sigma: 0.168, Reward: -1022.04
Episode: 1300, Steps: 200, Sigma: 0.167, Reward: -1514.09
Episode: 1310, Steps: 200, Sigma: 0.166, Reward: -1399.47
Episode: 1320, Steps: 200, Sigma: 0.164, Reward: -1513.08
Episode: 1330, Steps: 200, Sigma: 0.163, Reward: -8.33
Episode: 1340, Steps: 200, Sigma: 0.162, Reward: -1026.50
Episode: 1350, Steps: 200, Sigma: 0.160, Reward: -1442.79
Episode: 1360, Steps: 200, Sigma: 0.159, Reward: -1314.40
Episode: 1370, Steps: 200, Sigma: 0.158, Reward: -1491.31
Episode: 1380, Steps: 200, Sigma: 0.157, Reward: -986.49
Episode: 1390, Steps: 200, Sigma: 0.156, Reward: -1194.66
Episode: 1400, Steps: 200, Sigma: 0.155, Reward: -1506.71
Episode: 1410, Steps: 200, Sigma: 0.154, Reward: -1030.39
Episode: 1420, Steps: 200, Sigma: 0.153, Reward: -1507.81
Episode: 1430, Steps: 200, Sigma: 0.152, Reward: -6.59
Episode: 1440, Steps: 200, Sigma: 0.151, Reward: -1506.42
Episode: 1450, Steps: 200, Sigma: 0.150, Reward: -1464.63
Episode: 1460, Steps: 200, Sigma: 0.149, Reward: -1285.56
Episode: 1470, Steps: 200, Sigma: 0.148, Reward: -1504.77
Episode: 1480, Steps: 200, Sigma: 0.147, Reward: -1575.83
Episode: 1490, Steps: 200, Sigma: 0.146, Reward: -1407.60
Episode: 1500, Steps: 200, Sigma: 0.145, Reward: -1323.15
Episode: 1510, Steps: 200, Sigma: 0.144, Reward: -1468.15
Episode: 1520, Steps: 200, Sigma: 0.143, Reward: -1628.58
Episode: 1530, Steps: 200, Sigma: 0.142, Reward: -370.35
Episode: 1540, Steps: 200, Sigma: 0.141, Reward: -1328.99
Episode: 1550, Steps: 200, Sigma: 0.141, Reward: -1059.88
Episode: 1560, Steps: 200, Sigma: 0.140, Reward: -1387.04
Episode: 1570, Steps: 200, Sigma: 0.139, Reward: -1396.00
Episode: 1580, Steps: 200, Sigma: 0.138, Reward: -1598.48
Episode: 1590, Steps: 200, Sigma: 0.137, Reward: -1210.84
Episode: 1600, Steps: 200, Sigma: 0.137, Reward: -20.12
Episode: 1610, Steps: 200, Sigma: 0.136, Reward: -1200.03
Episode: 1620, Steps: 200, Sigma: 0.135, Reward: -1504.76
Episode: 1630, Steps: 200, Sigma: 0.135, Reward: -1247.79
Episode: 1640, Steps: 200, Sigma: 0.134, Reward: -1513.05
Episode: 1650, Steps: 200, Sigma: 0.133, Reward: -1229.03
Episode: 1660, Steps: 200, Sigma: 0.133, Reward: -1611.52
Episode: 1670, Steps: 200, Sigma: 0.132, Reward: -1167.36
Episode: 1680, Steps: 200, Sigma: 0.131, Reward: -1398.98
Episode: 1690, Steps: 200, Sigma: 0.131, Reward: -1613.38
Episode: 1700, Steps: 200, Sigma: 0.130, Reward: -1589.67
Episode: 1710, Steps: 200, Sigma: 0.129, Reward: -1506.97
Episode: 1720, Steps: 200, Sigma: 0.129, Reward: -1630.83
Episode: 1730, Steps: 200, Sigma: 0.128, Reward: -1322.52
Episode: 1740, Steps: 200, Sigma: 0.128, Reward: -1505.38
Episode: 1750, Steps: 200, Sigma: 0.127, Reward: -1061.33
Episode: 1760, Steps: 200, Sigma: 0.127, Reward: -248.77
Episode: 1770, Steps: 200, Sigma: 0.126, Reward: -1385.95
Episode: 1780, Steps: 200, Sigma: 0.126, Reward: -1363.52
Episode: 1790, Steps: 200, Sigma: 0.125, Reward: -1159.83
Episode: 1800, Steps: 200, Sigma: 0.125, Reward: -1421.05
Episode: 1810, Steps: 200, Sigma: 0.124, Reward: -1191.86
Episode: 1820, Steps: 200, Sigma: 0.124, Reward: -241.69
Episode: 1830, Steps: 200, Sigma: 0.123, Reward: -1272.57
Episode: 1840, Steps: 200, Sigma: 0.123, Reward: -140.57
Episode: 1850, Steps: 200, Sigma: 0.122, Reward: -973.90
Episode: 1860, Steps: 200, Sigma: 0.122, Reward: -1053.82
Episode: 1870, Steps: 200, Sigma: 0.121, Reward: -1165.37
Episode: 1880, Steps: 200, Sigma: 0.121, Reward: -1285.45
Episode: 1890, Steps: 200, Sigma: 0.121, Reward: -951.05
Episode: 1900, Steps: 200, Sigma: 0.120, Reward: -142.40
Episode: 1910, Steps: 200, Sigma: 0.120, Reward: -1502.77
Episode: 1920, Steps: 200, Sigma: 0.119, Reward: -966.00
Episode: 1930, Steps: 200, Sigma: 0.119, Reward: -1588.04
Episode: 1940, Steps: 200, Sigma: 0.119, Reward: -1407.85
Episode: 1950, Steps: 200, Sigma: 0.118, Reward: -1505.49
Episode: 1960, Steps: 200, Sigma: 0.118, Reward: -1616.55
Episode: 1970, Steps: 200, Sigma: 0.118, Reward: -11.75
Episode: 1980, Steps: 200, Sigma: 0.117, Reward: -1327.21
Episode: 1990, Steps: 200, Sigma: 0.117, Reward: -1115.49
