Starting training on Pendulum-v1...
Episode: 93, Steps: 200, Sigma: 0.983, Reward: -1153.58
Episode: 94, Steps: 200, Sigma: 0.983, Reward: -1127.87
Episode: 95, Steps: 200, Sigma: 0.983, Reward: -1831.58
Episode: 96, Steps: 200, Sigma: 0.983, Reward: -1280.09
Episode: 97, Steps: 200, Sigma: 0.983, Reward: -1192.25
Episode: 98, Steps: 200, Sigma: 0.983, Reward: -1443.38
Episode: 99, Steps: 200, Sigma: 0.982, Reward: -1752.00
Episode: 100, Steps: 200, Sigma: 0.982, Reward: -1601.94
Episode: 101, Steps: 200, Sigma: 0.982, Reward: -1222.88
Episode: 102, Steps: 200, Sigma: 0.982, Reward: -953.18
Episode: 103, Steps: 200, Sigma: 0.982, Reward: -1273.84
Episode: 104, Steps: 200, Sigma: 0.981, Reward: -1557.21
Episode: 105, Steps: 200, Sigma: 0.981, Reward: -1121.40
Episode: 106, Steps: 200, Sigma: 0.981, Reward: -1366.88
Episode: 107, Steps: 200, Sigma: 0.981, Reward: -1082.30
Episode: 108, Steps: 200, Sigma: 0.981, Reward: -1257.19
Episode: 109, Steps: 200, Sigma: 0.981, Reward: -1653.34
Episode: 110, Steps: 200, Sigma: 0.980, Reward: -1599.62
Episode: 111, Steps: 200, Sigma: 0.980, Reward: -1273.65
Episode: 112, Steps: 200, Sigma: 0.980, Reward: -1378.73
Episode: 113, Steps: 200, Sigma: 0.980, Reward: -1625.61
Episode: 114, Steps: 200, Sigma: 0.980, Reward: -1301.26
Episode: 115, Steps: 200, Sigma: 0.980, Reward: -1324.17
Episode: 116, Steps: 200, Sigma: 0.979, Reward: -1267.68
Episode: 117, Steps: 200, Sigma: 0.979, Reward: -1271.76
Episode: 118, Steps: 200, Sigma: 0.979, Reward: -1680.93
Episode: 119, Steps: 200, Sigma: 0.979, Reward: -1161.07
Episode: 120, Steps: 200, Sigma: 0.979, Reward: -1485.75
Episode: 121, Steps: 200, Sigma: 0.978, Reward: -1604.06
Episode: 122, Steps: 200, Sigma: 0.978, Reward: -1447.63
