Starting training on Pendulum-v1...
State Dim: 3, Action Dim: 1, Max Action: 2.0
Episode: 120, Steps: 200, Total Reward: -1693.94
Episode: 121, Steps: 200, Total Reward: -1302.95
Episode: 122, Steps: 200, Total Reward: -1696.79
Episode: 123, Steps: 200, Total Reward: -1133.77
Episode: 124, Steps: 200, Total Reward: -1352.75
Episode: 125, Steps: 200, Total Reward: -1290.90
Episode: 126, Steps: 200, Total Reward: -1442.32
Episode: 127, Steps: 200, Total Reward: -1234.90
Episode: 128, Steps: 200, Total Reward: -1184.95
Episode: 129, Steps: 200, Total Reward: -1186.40
Episode: 130, Steps: 200, Total Reward: -1448.28
Episode: 131, Steps: 200, Total Reward: -1340.31
Episode: 132, Steps: 200, Total Reward: -1195.47
Episode: 133, Steps: 200, Total Reward: -1102.14
Episode: 134, Steps: 200, Total Reward: -1756.85
Episode: 135, Steps: 200, Total Reward: -1594.62
Episode: 136, Steps: 200, Total Reward: -1118.26
Episode: 137, Steps: 200, Total Reward: -1395.57
Episode: 138, Steps: 200, Total Reward: -1423.42
Episode: 139, Steps: 200, Total Reward: -1501.47
Episode: 140, Steps: 200, Total Reward: -1616.24
Episode: 141, Steps: 200, Total Reward: -1272.24
Episode: 142, Steps: 200, Total Reward: -1750.38
Episode: 143, Steps: 200, Total Reward: -1688.81
Episode: 144, Steps: 200, Total Reward: -1668.33
Episode: 145, Steps: 200, Total Reward: -1607.66
Episode: 146, Steps: 200, Total Reward: -1301.00
Episode: 147, Steps: 200, Total Reward: -1563.75
Episode: 148, Steps: 200, Total Reward: -1441.43
Episode: 149, Steps: 200, Total Reward: -1115.78
Episode: 150, Steps: 200, Total Reward: -1243.37
Episode: 151, Steps: 200, Total Reward: -1649.75
Episode: 152, Steps: 200, Total Reward: -1218.13
Episode: 153, Steps: 200, Total Reward: -1196.49
Episode: 154, Steps: 200, Total Reward: -1596.96
Episode: 155, Steps: 200, Total Reward: -1510.20
Episode: 156, Steps: 200, Total Reward: -1657.40
Episode: 157, Steps: 200, Total Reward: -1587.24
Episode: 158, Steps: 200, Total Reward: -1451.09
Episode: 159, Steps: 200, Total Reward: -1589.31
Episode: 160, Steps: 200, Total Reward: -1347.06
Episode: 161, Steps: 200, Total Reward: -1427.31
Episode: 162, Steps: 200, Total Reward: -1446.85
Episode: 163, Steps: 200, Total Reward: -1620.88
Episode: 164, Steps: 200, Total Reward: -1469.31
Episode: 165, Steps: 200, Total Reward: -1543.57
Episode: 166, Steps: 200, Total Reward: -1553.61
Episode: 167, Steps: 200, Total Reward: -1546.46
Episode: 168, Steps: 200, Total Reward: -1428.05
Episode: 169, Steps: 200, Total Reward: -1584.67
Episode: 170, Steps: 200, Total Reward: -1640.47
Episode: 171, Steps: 200, Total Reward: -1583.12
Episode: 172, Steps: 200, Total Reward: -1375.51
Episode: 173, Steps: 200, Total Reward: -1440.44
Episode: 174, Steps: 200, Total Reward: -1471.99
Episode: 175, Steps: 200, Total Reward: -1480.32
Episode: 176, Steps: 200, Total Reward: -1596.82
Episode: 177, Steps: 200, Total Reward: -1471.18
Episode: 178, Steps: 200, Total Reward: -1527.68
Episode: 179, Steps: 200, Total Reward: -1561.23
Episode: 180, Steps: 200, Total Reward: -1595.21
Episode: 181, Steps: 200, Total Reward: -1667.67
Episode: 182, Steps: 200, Total Reward: -1550.94
Episode: 183, Steps: 200, Total Reward: -1558.19
Episode: 184, Steps: 200, Total Reward: -1334.90
Episode: 185, Steps: 200, Total Reward: -1392.65
Episode: 186, Steps: 200, Total Reward: -1384.28
Episode: 187, Steps: 200, Total Reward: -1337.66
Episode: 188, Steps: 200, Total Reward: -1512.84
Episode: 189, Steps: 200, Total Reward: -1416.51
Episode: 190, Steps: 200, Total Reward: -1425.05
Episode: 191, Steps: 200, Total Reward: -1517.23
Episode: 192, Steps: 200, Total Reward: -1394.50
Episode: 193, Steps: 200, Total Reward: -1501.83
Episode: 194, Steps: 200, Total Reward: -1302.80
Episode: 195, Steps: 200, Total Reward: -1393.36
Episode: 196, Steps: 200, Total Reward: -1586.37
Episode: 197, Steps: 200, Total Reward: -1115.69
Episode: 198, Steps: 200, Total Reward: -1293.86
Episode: 199, Steps: 200, Total Reward: -1680.83
Episode: 200, Steps: 200, Total Reward: -1509.33
Episode: 201, Steps: 200, Total Reward: -1599.29
Episode: 202, Steps: 200, Total Reward: -1667.52
Episode: 203, Steps: 200, Total Reward: -1554.75
Episode: 204, Steps: 200, Total Reward: -1559.64
