Starting CACLA training on Pendulum-v1...
Episode: 940, Steps: 200, Sigma: 0.237, Reward: -1116.43
Episode: 950, Steps: 200, Sigma: 0.235, Reward: -1160.32
Episode: 960, Steps: 200, Sigma: 0.232, Reward: -2.25
Episode: 970, Steps: 200, Sigma: 0.229, Reward: -1141.41
Episode: 980, Steps: 200, Sigma: 0.227, Reward: -137.43
Episode: 990, Steps: 200, Sigma: 0.224, Reward: -1222.58
Episode: 1000, Steps: 200, Sigma: 0.222, Reward: -1539.91
Episode: 1010, Steps: 200, Sigma: 0.219, Reward: -1186.38
Episode: 1020, Steps: 200, Sigma: 0.217, Reward: -1415.65
Episode: 1030, Steps: 200, Sigma: 0.215, Reward: -116.41
Episode: 1040, Steps: 200, Sigma: 0.212, Reward: -1293.65
Episode: 1050, Steps: 200, Sigma: 0.210, Reward: -719.60
Episode: 1060, Steps: 200, Sigma: 0.208, Reward: -137.53
Episode: 1070, Steps: 200, Sigma: 0.206, Reward: -1173.24
Episode: 1080, Steps: 200, Sigma: 0.204, Reward: -1426.74
Episode: 1090, Steps: 200, Sigma: 0.202, Reward: -1187.26
Episode: 1100, Steps: 200, Sigma: 0.200, Reward: -1164.45
Episode: 1110, Steps: 200, Sigma: 0.198, Reward: -122.12
Episode: 1120, Steps: 200, Sigma: 0.196, Reward: -121.56
Episode: 1130, Steps: 200, Sigma: 0.194, Reward: -1337.19
Episode: 1140, Steps: 200, Sigma: 0.192, Reward: -1468.91
Episode: 1150, Steps: 200, Sigma: 0.190, Reward: -837.78
Episode: 1160, Steps: 200, Sigma: 0.188, Reward: -1514.62
Episode: 1170, Steps: 200, Sigma: 0.187, Reward: -1065.63
Episode: 1180, Steps: 200, Sigma: 0.185, Reward: -132.40
Episode: 1190, Steps: 200, Sigma: 0.183, Reward: -1271.90
Episode: 1200, Steps: 200, Sigma: 0.182, Reward: -1449.43
Episode: 1210, Steps: 200, Sigma: 0.180, Reward: -948.96
Episode: 1220, Steps: 200, Sigma: 0.178, Reward: -1504.52
Episode: 1230, Steps: 200, Sigma: 0.177, Reward: -1186.12
Episode: 1240, Steps: 200, Sigma: 0.175, Reward: -124.42
Episode: 1250, Steps: 200, Sigma: 0.174, Reward: -9.37
Episode: 1260, Steps: 200, Sigma: 0.172, Reward: -6.82
Episode: 1270, Steps: 200, Sigma: 0.171, Reward: -1232.52
Episode: 1280, Steps: 200, Sigma: 0.170, Reward: -1395.02
Episode: 1290, Steps: 200, Sigma: 0.168, Reward: -138.27
Episode: 1300, Steps: 200, Sigma: 0.167, Reward: -7.33
Episode: 1310, Steps: 200, Sigma: 0.166, Reward: -1273.82
Episode: 1320, Steps: 200, Sigma: 0.164, Reward: -6.37
Episode: 1330, Steps: 200, Sigma: 0.163, Reward: -1235.29
Episode: 1340, Steps: 200, Sigma: 0.162, Reward: -3.66
Episode: 1350, Steps: 200, Sigma: 0.160, Reward: -1056.99
Episode: 1360, Steps: 200, Sigma: 0.159, Reward: -1509.45
Episode: 1370, Steps: 200, Sigma: 0.158, Reward: -1068.06
Episode: 1380, Steps: 200, Sigma: 0.157, Reward: -1213.80
Episode: 1390, Steps: 200, Sigma: 0.156, Reward: -130.84
Episode: 1400, Steps: 200, Sigma: 0.155, Reward: -1273.91
Episode: 1410, Steps: 200, Sigma: 0.154, Reward: -903.16
Episode: 1420, Steps: 200, Sigma: 0.153, Reward: -122.04
Episode: 1430, Steps: 200, Sigma: 0.152, Reward: -1367.50
Episode: 1440, Steps: 200, Sigma: 0.151, Reward: -1194.53
Episode: 1450, Steps: 200, Sigma: 0.150, Reward: -1350.91
Episode: 1460, Steps: 200, Sigma: 0.149, Reward: -1203.62
Episode: 1470, Steps: 200, Sigma: 0.148, Reward: -1099.52
Episode: 1480, Steps: 200, Sigma: 0.147, Reward: -1089.38
Episode: 1490, Steps: 200, Sigma: 0.146, Reward: -1518.04
Episode: 1500, Steps: 200, Sigma: 0.145, Reward: -8.75
Episode: 1510, Steps: 200, Sigma: 0.144, Reward: -1506.58
Episode: 1520, Steps: 200, Sigma: 0.143, Reward: -1367.85
Episode: 1530, Steps: 200, Sigma: 0.142, Reward: -1.45
Episode: 1540, Steps: 200, Sigma: 0.141, Reward: -6.34
Episode: 1550, Steps: 200, Sigma: 0.141, Reward: -1241.72
Episode: 1560, Steps: 200, Sigma: 0.140, Reward: -121.12
Episode: 1570, Steps: 200, Sigma: 0.139, Reward: -951.61
Episode: 1580, Steps: 200, Sigma: 0.138, Reward: -11.56
Episode: 1590, Steps: 200, Sigma: 0.137, Reward: -1176.32
Episode: 1600, Steps: 200, Sigma: 0.137, Reward: -135.82
Episode: 1610, Steps: 200, Sigma: 0.136, Reward: -1514.50
Episode: 1620, Steps: 200, Sigma: 0.135, Reward: -940.46
Episode: 1630, Steps: 200, Sigma: 0.135, Reward: -1511.91
Episode: 1640, Steps: 200, Sigma: 0.134, Reward: -1260.08
