Starting CACLA training on Pendulum-v1...
Episode: 940, Steps: 200, Sigma: 0.237, Reward: -1068.95
Episode: 950, Steps: 200, Sigma: 0.235, Reward: -1482.92
Episode: 960, Steps: 200, Sigma: 0.232, Reward: -7.74
Episode: 970, Steps: 200, Sigma: 0.229, Reward: -1428.11
Episode: 980, Steps: 200, Sigma: 0.227, Reward: -1057.31
Episode: 990, Steps: 200, Sigma: 0.224, Reward: -1520.51
Episode: 1000, Steps: 200, Sigma: 0.222, Reward: -657.43
Episode: 1010, Steps: 200, Sigma: 0.219, Reward: -1340.39
Episode: 1020, Steps: 200, Sigma: 0.217, Reward: -1489.85
Episode: 1030, Steps: 200, Sigma: 0.215, Reward: -1527.89
Episode: 1040, Steps: 200, Sigma: 0.212, Reward: -1405.48
Episode: 1050, Steps: 200, Sigma: 0.210, Reward: -390.27
Episode: 1060, Steps: 200, Sigma: 0.208, Reward: -792.08
Episode: 1070, Steps: 200, Sigma: 0.206, Reward: -133.39
Episode: 1080, Steps: 200, Sigma: 0.204, Reward: -275.59
Episode: 1090, Steps: 200, Sigma: 0.202, Reward: -1099.74
Episode: 1100, Steps: 200, Sigma: 0.200, Reward: -7.71
Episode: 1110, Steps: 200, Sigma: 0.198, Reward: -410.01
Episode: 1120, Steps: 200, Sigma: 0.196, Reward: -281.95
Episode: 1130, Steps: 200, Sigma: 0.194, Reward: -1271.48
Episode: 1140, Steps: 200, Sigma: 0.192, Reward: -1234.80
Episode: 1150, Steps: 200, Sigma: 0.190, Reward: -265.75
Episode: 1160, Steps: 200, Sigma: 0.188, Reward: -1545.53
Episode: 1170, Steps: 200, Sigma: 0.187, Reward: -1535.34
Episode: 1180, Steps: 200, Sigma: 0.185, Reward: -268.71
Episode: 1190, Steps: 200, Sigma: 0.183, Reward: -0.60
Episode: 1200, Steps: 200, Sigma: 0.182, Reward: -0.42
Episode: 1210, Steps: 200, Sigma: 0.180, Reward: -1536.71
Episode: 1220, Steps: 200, Sigma: 0.178, Reward: -1021.67
Episode: 1230, Steps: 200, Sigma: 0.177, Reward: -1510.00
Episode: 1240, Steps: 200, Sigma: 0.175, Reward: -1422.55
Episode: 1250, Steps: 200, Sigma: 0.174, Reward: -1522.49
Episode: 1260, Steps: 200, Sigma: 0.172, Reward: -1562.88
Episode: 1270, Steps: 200, Sigma: 0.171, Reward: -1494.15
Episode: 1280, Steps: 200, Sigma: 0.170, Reward: -1.07
Episode: 1290, Steps: 200, Sigma: 0.168, Reward: -798.67
Episode: 1300, Steps: 200, Sigma: 0.167, Reward: -677.06
Episode: 1310, Steps: 200, Sigma: 0.166, Reward: -132.93
Episode: 1320, Steps: 200, Sigma: 0.164, Reward: -130.27
Episode: 1330, Steps: 200, Sigma: 0.163, Reward: -1.11
Episode: 1340, Steps: 200, Sigma: 0.162, Reward: -540.66
Episode: 1350, Steps: 200, Sigma: 0.160, Reward: -1396.91
Episode: 1360, Steps: 200, Sigma: 0.159, Reward: -3.07
Episode: 1370, Steps: 200, Sigma: 0.158, Reward: -1421.67
Episode: 1380, Steps: 200, Sigma: 0.157, Reward: -1518.56
Episode: 1390, Steps: 200, Sigma: 0.156, Reward: -269.06
Episode: 1400, Steps: 200, Sigma: 0.155, Reward: -125.47
