Starting training on Pendulum-v1...
Episode: 122, Steps: 200, Total Reward: -1067.73
Episode: 123, Steps: 200, Total Reward: -1649.64
Episode: 124, Steps: 200, Total Reward: -967.99
Episode: 125, Steps: 200, Total Reward: -918.09
Episode: 126, Steps: 200, Total Reward: -1701.07
Episode: 127, Steps: 200, Total Reward: -1006.64
Episode: 128, Steps: 200, Total Reward: -1339.64
Episode: 129, Steps: 200, Total Reward: -1095.99
Episode: 130, Steps: 200, Total Reward: -1060.95
Episode: 131, Steps: 200, Total Reward: -1276.64
Episode: 132, Steps: 200, Total Reward: -1105.26
Episode: 133, Steps: 200, Total Reward: -1279.45
Episode: 134, Steps: 200, Total Reward: -1168.63
Episode: 135, Steps: 200, Total Reward: -1312.68
Episode: 136, Steps: 200, Total Reward: -887.02
Episode: 137, Steps: 200, Total Reward: -992.79
Episode: 138, Steps: 200, Total Reward: -1122.48
Episode: 139, Steps: 200, Total Reward: -1474.59
Episode: 140, Steps: 200, Total Reward: -1214.14
Episode: 141, Steps: 200, Total Reward: -1062.79
Episode: 142, Steps: 200, Total Reward: -892.92
Episode: 143, Steps: 200, Total Reward: -898.89
Episode: 144, Steps: 200, Total Reward: -1062.00
Episode: 145, Steps: 200, Total Reward: -1053.60
Episode: 146, Steps: 200, Total Reward: -1164.94
Episode: 147, Steps: 200, Total Reward: -1167.18
Episode: 148, Steps: 200, Total Reward: -1429.14
Episode: 149, Steps: 200, Total Reward: -1283.20
Episode: 150, Steps: 200, Total Reward: -1108.28
Episode: 151, Steps: 200, Total Reward: -1074.35
Episode: 152, Steps: 200, Total Reward: -1059.79
Episode: 153, Steps: 200, Total Reward: -1033.76
Episode: 154, Steps: 200, Total Reward: -963.76
Episode: 155, Steps: 200, Total Reward: -912.41
Episode: 156, Steps: 200, Total Reward: -1249.99
Episode: 157, Steps: 200, Total Reward: -1035.56
Episode: 158, Steps: 200, Total Reward: -1374.65
Episode: 159, Steps: 200, Total Reward: -888.79
Episode: 160, Steps: 200, Total Reward: -1016.21
Episode: 161, Steps: 200, Total Reward: -1128.79
Episode: 162, Steps: 200, Total Reward: -854.36
Episode: 163, Steps: 200, Total Reward: -1084.86
Episode: 164, Steps: 200, Total Reward: -1591.77
Episode: 165, Steps: 200, Total Reward: -1345.59
Episode: 166, Steps: 200, Total Reward: -1399.76
Episode: 167, Steps: 200, Total Reward: -1304.61
Episode: 168, Steps: 200, Total Reward: -1155.92
Episode: 169, Steps: 200, Total Reward: -985.10
Episode: 170, Steps: 200, Total Reward: -874.40
Episode: 171, Steps: 200, Total Reward: -1677.10
Episode: 172, Steps: 200, Total Reward: -1079.23
Episode: 173, Steps: 200, Total Reward: -1280.38
Episode: 174, Steps: 200, Total Reward: -1690.87
Episode: 175, Steps: 200, Total Reward: -976.48
Episode: 176, Steps: 200, Total Reward: -1502.27
Episode: 177, Steps: 200, Total Reward: -1243.83
Episode: 178, Steps: 200, Total Reward: -895.94
Episode: 179, Steps: 200, Total Reward: -1132.87
Episode: 180, Steps: 200, Total Reward: -1039.35
Episode: 181, Steps: 200, Total Reward: -1174.74
Episode: 182, Steps: 200, Total Reward: -1187.84
